id	content	label	words	pred_label
13	"本标准由第七分会""书刊号标准化工作组负责起草。"	neutral	"本 标 准 由 第 七 分 会 "" 书 刊 号 标 准 化 工 作 组 负 责 起 草 。"	3
14	这样折磨我真的好吗?为什么我背的题一道都不考,伐开心	angry	这 样 折 磨 我 真 的 好 吗 ? 为 什 么 我 背 的 题 一 道 都 不 考 , 伐 开 心	0
15	一个人真无聊,美食都没味了,你要在就好了…唉………	sad	一 个 人 真 无 聊 , 美 食 都 没 味 了 , 你 要 在 就 好 了 … 唉 … … …	4
16	早上和妈妈生气,居然说,找个新妈妈	angry	早 上 和 妈 妈 生 气 , 居 然 说 , 找 个 新 妈 妈	5
17	把孩子的涂鸦做成长毛绒玩具!一切来自一个真实的灵感:一位母亲把她四岁儿子的涂鸦做成长毛绒玩具。(via风过山)	neutral	把 孩 子 的 涂 鸦 做 成 长 毛 绒 玩 具 ! 一 切 来 自 一 个 真 实 的 灵 感 : 一 位 母 亲 把 她 四 岁 儿 子 的 涂 鸦 做 成 长 毛 绒 玩 具 。 ( v i a 风 过 山 )	3
18	这个村的年轻人大多数都出外打工。	neutral	这 个 村 的 年 轻 人 大 多 数 都 出 外 打 工 。	3
19	"#linther说#以前,他从来不对我说晚安,就算每次我发了晚安,他只会回""拜""。今天,他主动说了""晚安"",我心里一惊,又觉得是不是自己想多了。"	happy	"# l i n t h e r 说 # 以 前 , 他 从 来 不 对 我 说 晚 安 , 就 算 每 次 我 发 了 晚 安 , 他 只 会 回 "" 拜 "" 。 今 天 , 他 主 动 说 了 "" 晚 安 "" , 我 心 里 一 惊 , 又 觉 得 是 不 是 自 己 想 多 了 。"	2
20	除此之外比较让我恐惧的就是,自己的智商是有限的,有的东西我可能一辈子都理解不了,但是却有人能够轻易的理解。就像看着自己怎么伸手都够不着的果实被别人轻易的摘去了一样。而且那里明明还有很多果实,我能看得到但是一辈子都够不着。想想真是让人害怕啊。不甘心也没有用,为什么我不是天才呢。	fear	除 此 之 外 比 较 让 我 恐 惧 的 就 是 , 自 己 的 智 商 是 有 限 的 , 有 的 东 西 我 可 能 一 辈 子 都 理 解 不 了 , 但 是 却 有 人 能 够 轻 易 的 理 解 。 就 像 看 着 自 己 怎 么 伸 手 都 够 不 着 的 果 实 被 别 人 轻 易 的 摘 去 了 一 样 。 而 且 那 里 明 明 还 有 很 多 果 实 , 我 能 看 得 到 但 是 一 辈 子 都 够 不 着 。 想 想 真 是 让 人 害 怕 啊 。 不 甘 心 也 没 有 用 , 为 什 么 我 不 是 天 才 呢 。	1
21	手机买了12天就降了300,摩托你的手机情怀呢?	angry	手 机 买 了 1 2 天 就 降 了 3 0 0 , 摩 托 你 的 手 机 情 怀 呢 ?	0
22	形成的土壤为潮沙泥和潮沙泥田。	neutral	形 成 的 土 壤 为 潮 沙 泥 和 潮 沙 泥 田 。	3
23	卧槽!!!!!!禽兽!!!!!!!!	angry	卧 槽 ! ! ! ! ! ! 禽 兽 ! ! ! ! ! ! ! !	0
24	"为什么老师看见我的桌面会问我:""你平时是不是打游戏?"""	surprise	"为 什 么 老 师 看 见 我 的 桌 面 会 问 我 : "" 你 平 时 是 不 是 打 游 戏 ? """	0
25	棉花一枝独秀?难道看不见服装业的形势?	surprise	棉 花 一 枝 独 秀 ? 难 道 看 不 见 服 装 业 的 形 势 ?	0
26	"前身为始建于1892年的""宽仁医院。"	neutral	"前 身 为 始 建 于 1 8 9 2 年 的 "" 宽 仁 医 院 。"	3
27	最近追三国演义,曹操要刺杀董卓,关键时刻吕布突然进来,曹操转势跪献宝刀,吓一头脑袋汗,这个演技我给后来刺杀收留他的吕伯奢一家看的心惊	fear	最 近 追 三 国 演 义 , 曹 操 要 刺 杀 董 卓 , 关 键 时 刻 吕 布 突 然 进 来 , 曹 操 转 势 跪 献 宝 刀 , 吓 一 头 脑 袋 汗 , 这 个 演 技 我 给 后 来 刺 杀 收 留 他 的 吕 伯 奢 一 家 看 的 心 惊	1
28	《女生健康睡眠》女生一旦晚睡早起,生活作息就会严重违背生物钟,易成为慢性失眠。有睡眠问题的女生是男生的1.5倍,有慢性失眠问题的女生是男生的1.3倍。睡不好的女生常有脑中风心血管疾病的患病风险。女生每天最好睡足8小时,不要少于6小时。中午最好休息半小时到1小时。晚上最好10时左右睡觉。	neutral	《 女 生 健 康 睡 眠 》 女 生 一 旦 晚 睡 早 起 , 生 活 作 息 就 会 严 重 违 背 生 物 钟 , 易 成 为 慢 性 失 眠 。 有 睡 眠 问 题 的 女 生 是 男 生 的 1 . 5 倍 , 有 慢 性 失 眠 问 题 的 女 生 是 男 生 的 1 . 3 倍 。 睡 不 好 的 女 生 常 有 脑 中 风 心 血 管 疾 病 的 患 病 风 险 。 女 生 每 天 最 好 睡 足 8 小 时 , 不 要 少 于 6 小 时 。 中 午 最 好 休 息 半 小 时 到 1 小 时 。 晚 上 最 好 1 0 时 左 右 睡 觉 。	3
29	从听《callmemabye》到现在,今天第一次看歌曲的mv,拍的很唯美,女主很小清新,男主很阳光很帅气,but,最后的结局却是:那么迷人好看的男主,他callmemabye的对象竟然是乐队的吉他手,他喜欢的是男的。	surprise	从 听 《 c a l l m e m a b y e 》 到 现 在 , 今 天 第 一 次 看 歌 曲 的 m v , 拍 的 很 唯 美 , 女 主 很 小 清 新 , 男 主 很 阳 光 很 帅 气 , b u t , 最 后 的 结 局 却 是 : 那 么 迷 人 好 看 的 男 主 , 他 c a l l m e m a b y e 的 对 象 竟 然 是 乐 队 的 吉 他 手 , 他 喜 欢 的 是 男 的 。	2
30	过了太久安逸的生活了,被最近一系列的国际大事惊呆了,这是什么节奏	surprise	过 了 太 久 安 逸 的 生 活 了 , 被 最 近 一 系 列 的 国 际 大 事 惊 呆 了 , 这 是 什 么 节 奏	5
31	5月22日上午9:00——10:30,申报高中,中职,实习指导教师资格人员教育教学能力测试笔试;	neutral	5 月 2 2 日 上 午 9 : 0 0 — — 1 0 : 3 0 , 申 报 高 中 , 中 职 , 实 习 指 导 教 师 资 格 人 员 教 育 教 学 能 力 测 试 笔 试 ;	3
32	想自己装个软件,咋这难呢??想骂人	angry	想 自 己 装 个 软 件 , 咋 这 难 呢 ? ? 想 骂 人	0
33	加州最有名的意面,披萨,居然也要排队,蒜香虾球面,宫爆虾球面,好吃	happy	加 州 最 有 名 的 意 面 , 披 萨 , 居 然 也 要 排 队 , 蒜 香 虾 球 面 , 宫 爆 虾 球 面 , 好 吃	5
34	真是火大做了一遍乱码白做重做又乱码破系统能不能不闹	angry	真 是 火 大 做 了 一 遍 乱 码 白 做 重 做 又 乱 码 破 系 统 能 不 能 不 闹	0
35	似乎又被禁言了渣浪你想怎样,我的vip是白开的吗?	angry	似 乎 又 被 禁 言 了 渣 浪 你 想 怎 样 , 我 的 v i p 是 白 开 的 吗 ?	0
36	心里好烦好烦好烦好烦你们不熟你妹啊那你上课的干嘛跟她讲话卧槽靠靠靠!烦死了还笑那么开心我去你大爷你怎么跟她不熟了我靠	angry	心 里 好 烦 好 烦 好 烦 好 烦 你 们 不 熟 你 妹 啊 那 你 上 课 的 干 嘛 跟 她 讲 话 卧 槽 靠 靠 靠 ! 烦 死 了 还 笑 那 么 开 心 我 去 你 大 爷 你 怎 么 跟 她 不 熟 了 我 靠	0
37	我没有你们那种与生俱来的自信…也或许曾经有过…?	neutral	我 没 有 你 们 那 种 与 生 俱 来 的 自 信 … 也 或 许 曾 经 有 过 … ?	0
38	到海关办了退运,花了286,肉疼	sad	到 海 关 办 了 退 运 , 花 了 2 8 6 , 肉 疼	4
39	看完恐怖片才意思到自己是一个人睡旅馆,楼道隔音不好能听到脚步声,楼下还有那种服务,害怕到没有困意	fear	看 完 恐 怖 片 才 意 思 到 自 己 是 一 个 人 睡 旅 馆 , 楼 道 隔 音 不 好 能 听 到 脚 步 声 , 楼 下 还 有 那 种 服 务 , 害 怕 到 没 有 困 意	1
40	谢谢honey们帮我庆祝生日!!!谢谢你们的祝福,谢谢身边的所有人!爱你们	happy	谢 谢 h o n e y 们 帮 我 庆 祝 生 日 ! ! ! 谢 谢 你 们 的 祝 福 , 谢 谢 身 边 的 所 有 人 ! 爱 你 们	2
41	一到下雨天就莫名的惆怆,下一秒情绪就完全奔溃,闭着眼睛忍不住的流眼泪,这种情绪陪伴自己已经有一年半了。我想哪种心酸,委屈,无力辩解,和深深的遗憾只有这淅淅沥沥的雨声知道	sad	一 到 下 雨 天 就 莫 名 的 惆 怆 , 下 一 秒 情 绪 就 完 全 奔 溃 , 闭 着 眼 睛 忍 不 住 的 流 眼 泪 , 这 种 情 绪 陪 伴 自 己 已 经 有 一 年 半 了 。 我 想 哪 种 心 酸 , 委 屈 , 无 力 辩 解 , 和 深 深 的 遗 憾 只 有 这 淅 淅 沥 沥 的 雨 声 知 道	4
42	熬到了天亮,好神奇一点睡意都没有	neutral	熬 到 了 天 亮 , 好 神 奇 一 点 睡 意 都 没 有	4
43	终于………以前都是在上面的😂👆柔板跟催眠曲似的,豆说他弹的速度比她数钱还快	happy	终 于 … … … 以 前 都 是 在 上 面 的 😂 👆 柔 板 跟 催 眠 曲 似 的 , 豆 说 他 弹 的 速 度 比 她 数 钱 还 快	2
44	感觉很不好,需要音乐平复我躁动的内心!😖😖😖	angry	感 觉 很 不 好 , 需 要 音 乐 平 复 我 躁 动 的 内 心 ! 😖 😖 😖	0
45	2011.11.24,11:58分,《垫底辣妹》里最后因为一向被自己忽视小看的女儿考试了梦想中的大学,爸爸背起女儿....我竟然想大喊一声:你如果此刻冲到我面前来找我我就原谅你.....呵呵...	angry	2 0 1 1 . 1 1 . 2 4 , 1 1 : 5 8 分 , 《 垫 底 辣 妹 》 里 最 后 因 为 一 向 被 自 己 忽 视 小 看 的 女 儿 考 试 了 梦 想 中 的 大 学 , 爸 爸 背 起 女 儿 . . . . 我 竟 然 想 大 喊 一 声 : 你 如 果 此 刻 冲 到 我 面 前 来 找 我 我 就 原 谅 你 . . . . . 呵 呵 . . .	2
46	全场比赛结束,阿森纳3:0战胜萨格纳布迪纳摩,桑切斯闪耀全场,接下来欧冠最后一场生死战,让我们去希腊赢两球或者3:2的比分	happy	全 场 比 赛 结 束 , 阿 森 纳 3 : 0 战 胜 萨 格 纳 布 迪 纳 摩 , 桑 切 斯 闪 耀 全 场 , 接 下 来 欧 冠 最 后 一 场 生 死 战 , 让 我 们 去 希 腊 赢 两 球 或 者 3 : 2 的 比 分	3
47	一觉醒来你发现你梦到的人身边不是你你的未来也不会有他心里的一阵失落感和难受就会升起	sad	一 觉 醒 来 你 发 现 你 梦 到 的 人 身 边 不 是 你 你 的 未 来 也 不 会 有 他 心 里 的 一 阵 失 落 感 和 难 受 就 会 升 起	4
48	而起关键是在燃油的精确配置和废气的后置处理,各多的电子新科技将运用到新一带柴油机上。	neutral	而 起 关 键 是 在 燃 油 的 精 确 配 置 和 废 气 的 后 置 处 理 , 各 多 的 电 子 新 科 技 将 运 用 到 新 一 带 柴 油 机 上 。	3
49	纯君也在玩touken的节奏?	surprise	纯 君 也 在 玩 t o u k e n 的 节 奏 ?	5
50	只想说,有些人完全不懂什么叫人情味,既然你不懂人情味,也枉费做一个人,那么我也就不用把你当人看,尼玛,心塞,是很塞	angry	只 想 说 , 有 些 人 完 全 不 懂 什 么 叫 人 情 味 , 既 然 你 不 懂 人 情 味 , 也 枉 费 做 一 个 人 , 那 么 我 也 就 不 用 把 你 当 人 看 , 尼 玛 , 心 塞 , 是 很 塞	0
51	1986年在遗传病研究中,张乃赓新发现了6种8例遗传病,获黑龙江省计划生育委员会遗传病研究一等奖,并获黑龙江省科技进步三等奖。	neutral	1 9 8 6 年 在 遗 传 病 研 究 中 , 张 乃 赓 新 发 现 了 6 种 8 例 遗 传 病 , 获 黑 龙 江 省 计 划 生 育 委 员 会 遗 传 病 研 究 一 等 奖 , 并 获 黑 龙 江 省 科 技 进 步 三 等 奖 。	3
52	为啥子都喜欢赶在中午饭点过来啊啊啊,你们午休能不能也让我们歇会	angry	为 啥 子 都 喜 欢 赶 在 中 午 饭 点 过 来 啊 啊 啊 , 你 们 午 休 能 不 能 也 让 我 们 歇 会	0
53	字迹潦草却不失内涵,宿舍不拔插线板写的检讨大二的我们身不由己呀,真心不知道怎么写	angry	字 迹 潦 草 却 不 失 内 涵 , 宿 舍 不 拔 插 线 板 写 的 检 讨 大 二 的 我 们 身 不 由 己 呀 , 真 心 不 知 道 怎 么 写	0
54	更年期的女boss真的让人受不了,烦躁	angry	更 年 期 的 女 b o s s 真 的 让 人 受 不 了 , 烦 躁	0
55	今天晚上给别人写推优的什么东西,还有选修课,明天晚上要交的物理实验数据还没处理,周六要考综合交通,没复习,还正好是物理演示实验的那天,还有一个月考四级,没怎么背英语,听课听不进去,跑步停了半个月了,锻炼虽然一直在做着,但是晚上开始吃了,负能量爆棚,真糟糕	sad	今 天 晚 上 给 别 人 写 推 优 的 什 么 东 西 , 还 有 选 修 课 , 明 天 晚 上 要 交 的 物 理 实 验 数 据 还 没 处 理 , 周 六 要 考 综 合 交 通 , 没 复 习 , 还 正 好 是 物 理 演 示 实 验 的 那 天 , 还 有 一 个 月 考 四 级 , 没 怎 么 背 英 语 , 听 课 听 不 进 去 , 跑 步 停 了 半 个 月 了 , 锻 炼 虽 然 一 直 在 做 着 , 但 是 晚 上 开 始 吃 了 , 负 能 量 爆 棚 , 真 糟 糕	0
56	第二十一条??严禁弃婴,溺婴,非法收养子女。	neutral	第 二 十 一 条 ? ? 严 禁 弃 婴 , 溺 婴 , 非 法 收 养 子 女 。	3
57	空闲时间太多,就会胡思乱想,以至于唤醒了心中的彷徨。	sad	空 闲 时 间 太 多 , 就 会 胡 思 乱 想 , 以 至 于 唤 醒 了 心 中 的 彷 徨 。	3
58	"老舍《黑白李》:""黑李是我的好友,因为常到他家去,所以对白李的事儿我也略知一二。"	neutral	"老 舍 《 黑 白 李 》 : "" 黑 李 是 我 的 好 友 , 因 为 常 到 他 家 去 , 所 以 对 白 李 的 事 儿 我 也 略 知 一 二 。"	3
59	阳气就是阳清之气,阴阳二气混杂从而化育了万物。	neutral	阳 气 就 是 阳 清 之 气 , 阴 阳 二 气 混 杂 从 而 化 育 了 万 物 。	3
60	永远在变的计划,你什么时候能让我追上你!!!!	angry	永 远 在 变 的 计 划 , 你 什 么 时 候 能 让 我 追 上 你 ! ! ! !	0
61	吃个宵夜而已嘛你就开始痛痛痛了.6点还要起床.我只想安安静静睡个觉.乖!不要折磨我了呵.	sad	吃 个 宵 夜 而 已 嘛 你 就 开 始 痛 痛 痛 了 . 6 点 还 要 起 床 . 我 只 想 安 安 静 静 睡 个 觉 . 乖 ! 不 要 折 磨 我 了 呵 .	0
62	听得太多命中注定,看来得准备自己一个人好好过了……一切是好是坏我都欣然面对!	happy	听 得 太 多 命 中 注 定 , 看 来 得 准 备 自 己 一 个 人 好 好 过 了 … … 一 切 是 好 是 坏 我 都 欣 然 面 对 !	2
63	这支dirtysouth名团组建于1991年,全部团员来自佐治亚州首府亚特兰大市,成员分别为cee-lo,khujo,t-mo和biggipp等四人。	neutral	这 支 d i r t y s o u t h 名 团 组 建 于 1 9 9 1 年 , 全 部 团 员 来 自 佐 治 亚 州 首 府 亚 特 兰 大 市 , 成 员 分 别 为 c e e - l o , k h u j o , t - m o 和 b i g g i p p 等 四 人 。	3
64	梦见某国发现某病毒强化人体,收集了一批志愿者和选中的军人来试验,不行的会被淘汰。病毒感染的人对宿主会天然有好感,但是满足宿主条件的很少,好容易集齐了所有条件找到了一个人,但要很残酷的全部打碎重组,然后经过强化宿主和被病毒感染的人的关系就可以组建一支绝对服从的强大军队。	neutral	梦 见 某 国 发 现 某 病 毒 强 化 人 体 , 收 集 了 一 批 志 愿 者 和 选 中 的 军 人 来 试 验 , 不 行 的 会 被 淘 汰 。 病 毒 感 染 的 人 对 宿 主 会 天 然 有 好 感 , 但 是 满 足 宿 主 条 件 的 很 少 , 好 容 易 集 齐 了 所 有 条 件 找 到 了 一 个 人 , 但 要 很 残 酷 的 全 部 打 碎 重 组 , 然 后 经 过 强 化 宿 主 和 被 病 毒 感 染 的 人 的 关 系 就 可 以 组 建 一 支 绝 对 服 从 的 强 大 军 队 。	2
65	换季降温也想美美的?一条围巾就足够啦!小法为大家普及几种冬天最常用的厚围巾的系法,赶快叫着小伙伴,一起get√起来吧!	happy	换 季 降 温 也 想 美 美 的 ? 一 条 围 巾 就 足 够 啦 ! 小 法 为 大 家 普 及 几 种 冬 天 最 常 用 的 厚 围 巾 的 系 法 , 赶 快 叫 着 小 伙 伴 , 一 起 g e t √ 起 来 吧 !	2
66	我竟然才知道我有一个富二代加官二代加红二代的朋友	surprise	我 竟 然 才 知 道 我 有 一 个 富 二 代 加 官 二 代 加 红 二 代 的 朋 友	5
67	画个圈圈诅咒你!(臭老头)脏鬼!	angry	画 个 圈 圈 诅 咒 你 ! ( 臭 老 头 ) 脏 鬼 !	0
68	一早起来陪伴自己3年的那根笔居然不见了真心是找不到了	sad	一 早 起 来 陪 伴 自 己 3 年 的 那 根 笔 居 然 不 见 了 真 心 是 找 不 到 了	5
69	全村辖1个村民小组,其中从事第一产业人数110人。	neutral	全 村 辖 1 个 村 民 小 组 , 其 中 从 事 第 一 产 业 人 数 1 1 0 人 。	3
70	一首摇篮曲搞定一个吃货,那也是神了	surprise	一 首 摇 篮 曲 搞 定 一 个 吃 货 , 那 也 是 神 了	0
71	小区取缔垃圾桶,以后没有大爷来每天收十两次垃圾桶了,我好怀念收垃圾的大爷,有大爷的日子垃圾想扔就扔	sad	小 区 取 缔 垃 圾 桶 , 以 后 没 有 大 爷 来 每 天 收 十 两 次 垃 圾 桶 了 , 我 好 怀 念 收 垃 圾 的 大 爷 , 有 大 爷 的 日 子 垃 圾 想 扔 就 扔	4
72	两个班的差别怎么辣么大一天给你们上课焦死人	angry	两 个 班 的 差 别 怎 么 辣 么 大 一 天 给 你 们 上 课 焦 死 人	0
74	天阴下雨,浑身酸疼的赶脚,不喜欢	sad	天 阴 下 雨 , 浑 身 酸 疼 的 赶 脚 , 不 喜 欢	0
75	开会开到现在,饿成🐶了,我想妈妈	sad	开 会 开 到 现 在 , 饿 成 🐶 了 , 我 想 妈 妈	4
76	总是忙忙叨叨到现在,但是泡过脚之后睡觉真的很舒服。昨天晚上梦见二肥,我很想你,陪我一起长大的你,在那边要好好的。	happy	总 是 忙 忙 叨 叨 到 现 在 , 但 是 泡 过 脚 之 后 睡 觉 真 的 很 舒 服 。 昨 天 晚 上 梦 见 二 肥 , 我 很 想 你 , 陪 我 一 起 长 大 的 你 , 在 那 边 要 好 好 的 。	2
77	我也不太懂为啥要保持最坏的打算,担惊受怕过三年,并且担忧越来越强烈。希望结果出现的时候,不会影响正常的生活。	neutral	我 也 不 太 懂 为 啥 要 保 持 最 坏 的 打 算 , 担 惊 受 怕 过 三 年 , 并 且 担 忧 越 来 越 强 烈 。 希 望 结 果 出 现 的 时 候 , 不 会 影 响 正 常 的 生 活 。	4
78	不是抱怨。而是根本想去拿着所有东西摔他脸上告诉他你妈逼啊!卧槽!	angry	不 是 抱 怨 。 而 是 根 本 想 去 拿 着 所 有 东 西 摔 他 脸 上 告 诉 他 你 妈 逼 啊 ! 卧 槽 !	0
79	今天又拔出这么多白发,我还年轻离我远点	angry	今 天 又 拔 出 这 么 多 白 发 , 我 还 年 轻 离 我 远 点	0
80	每一个管理者都可以对照拉伯福所说的这十种错误,举一反三,验照一下自己是不是犯过类似的错误。	neutral	每 一 个 管 理 者 都 可 以 对 照 拉 伯 福 所 说 的 这 十 种 错 误 , 举 一 反 三 , 验 照 一 下 自 己 是 不 是 犯 过 类 似 的 错 误 。	3
81	现在的警察都是这样办事的么?!	angry	现 在 的 警 察 都 是 这 样 办 事 的 么 ? !	0
82	看了多篇报道,有植入广告嫌疑,西方人能干得出来?	angry	看 了 多 篇 报 道 , 有 植 入 广 告 嫌 疑 , 西 方 人 能 干 得 出 来 ?	0
83	胖了胖了胖了,怎么才可以不受美食的诱惑。真的胖了	angry	胖 了 胖 了 胖 了 , 怎 么 才 可 以 不 受 美 食 的 诱 惑 。 真 的 胖 了	0
84	改变命运的时候来了,可惜不够分,有点失落	sad	改 变 命 运 的 时 候 来 了 , 可 惜 不 够 分 , 有 点 失 落	4
85	"今天是宝小姐第一次,参加学校举行的""万圣节""…看来玩的好开心"	happy	"今 天 是 宝 小 姐 第 一 次 , 参 加 学 校 举 行 的 "" 万 圣 节 "" … 看 来 玩 的 好 开 心"	2
86	真的很后悔以前的微博都删了好多东西都找不回来仅剩一些残余的记忆	sad	真 的 很 后 悔 以 前 的 微 博 都 删 了 好 多 东 西 都 找 不 回 来 仅 剩 一 些 残 余 的 记 忆	0
87	《婴儿》#day98#第一次摔下床,现在还心有余悸。并没有一直哭,哄一会吃完奶就睡着了。看着满脸蚊子包熟睡的你,真是后悔,心疼!这是第一次一定也是最后一次。	fear	《 婴 儿 》 # d a y 9 8 # 第 一 次 摔 下 床 , 现 在 还 心 有 余 悸 。 并 没 有 一 直 哭 , 哄 一 会 吃 完 奶 就 睡 着 了 。 看 着 满 脸 蚊 子 包 熟 睡 的 你 , 真 是 后 悔 , 心 疼 ! 这 是 第 一 次 一 定 也 是 最 后 一 次 。	1
88	我的神哦,还好我不但不泡脚,而且从来不洗脚赶紧泡会压压惊	surprise	我 的 神 哦 , 还 好 我 不 但 不 泡 脚 , 而 且 从 来 不 洗 脚 赶 紧 泡 会 压 压 惊	0
89	今天是个倒霉的日子…………………	sad	今 天 是 个 倒 霉 的 日 子 … … … … … … …	2
90	如果把信息发给接受不到的对方,可以很直接,不用这么纠结	sad	如 果 把 信 息 发 给 接 受 不 到 的 对 方 , 可 以 很 直 接 , 不 用 这 么 纠 结	0
91	"外国学者称它为""中国17世纪的工艺百科全书。"	neutral	"外 国 学 者 称 它 为 "" 中 国 1 7 世 纪 的 工 艺 百 科 全 书 。"	3
92	月华寒子夜,更漏待天明。梦中忽觉醒,回寰一息中。	sad	月 华 寒 子 夜 , 更 漏 待 天 明 。 梦 中 忽 觉 醒 , 回 寰 一 息 中 。	3
93	典型的外在报酬为经济薪酬,即货币薪酬。	neutral	典 型 的 外 在 报 酬 为 经 济 薪 酬 , 即 货 币 薪 酬 。	3
94	做这道菜的心里过程:在菜场看的时候,它们一个个喷着水撒欢,买回家清洗的时候它们都害怕地紧闭着盔甲,由于泥太多,我用力清洗时发现把一个壳弄碎了,觉得它们好可怜~炒的时候很纠结,把它们一个个炒死了~他们有没有神经系统啊?但熟的时候闻到香味我就忘了它们生前的所有,人类好可怕	fear	做 这 道 菜 的 心 里 过 程 : 在 菜 场 看 的 时 候 , 它 们 一 个 个 喷 着 水 撒 欢 , 买 回 家 清 洗 的 时 候 它 们 都 害 怕 地 紧 闭 着 盔 甲 , 由 于 泥 太 多 , 我 用 力 清 洗 时 发 现 把 一 个 壳 弄 碎 了 , 觉 得 它 们 好 可 怜 ~ 炒 的 时 候 很 纠 结 , 把 它 们 一 个 个 炒 死 了 ~ 他 们 有 没 有 神 经 系 统 啊 ? 但 熟 的 时 候 闻 到 香 味 我 就 忘 了 它 们 生 前 的 所 有 , 人 类 好 可 怕	2
95	看了几日的视频教程终于狠下心安静的去织了感觉还挺不错的妈妈老公都说还不错心里挺开心	happy	看 了 几 日 的 视 频 教 程 终 于 狠 下 心 安 静 的 去 织 了 感 觉 还 挺 不 错 的 妈 妈 老 公 都 说 还 不 错 心 里 挺 开 心	2
96	做过的选择极少给你回过头更改的机会,又没勇气抛下所有另辟一蹊径,只得努力奋斗,使最初的选择变成正确。	happy	做 过 的 选 择 极 少 给 你 回 过 头 更 改 的 机 会 , 又 没 勇 气 抛 下 所 有 另 辟 一 蹊 径 , 只 得 努 力 奋 斗 , 使 最 初 的 选 择 变 成 正 确 。	3
97	如果哪位有幸考中了第一名状元,不仅能得到高官厚禄,还可以名扬天下。	happy	如 果 哪 位 有 幸 考 中 了 第 一 名 状 元 , 不 仅 能 得 到 高 官 厚 禄 , 还 可 以 名 扬 天 下 。	3
98	1906年转入镇平县立第一高等小学堂,次年,考入县立师范传习所。	neutral	1 9 0 6 年 转 入 镇 平 县 立 第 一 高 等 小 学 堂 , 次 年 , 考 入 县 立 师 范 传 习 所 。	3
99	特么即participation后,reflectivewriting成为了我最恶心的体裁1000的反思花了我四天天天检讨才憋完……	angry	特 么 即 p a r t i c i p a t i o n 后 , r e f l e c t i v e w r i t i n g 成 为 了 我 最 恶 心 的 体 裁 1 0 0 0 的 反 思 花 了 我 四 天 天 天 检 讨 才 憋 完 … …	0
100	万历十七年受封世子,天启元年,袭封周王。	neutral	万 历 十 七 年 受 封 世 子 , 天 启 元 年 , 袭 封 周 王 。	3
101	自己买的东西冒着雨也要拿回来,要走那么远内心是崩溃的	sad	自 己 买 的 东 西 冒 着 雨 也 要 拿 回 来 , 要 走 那 么 远 内 心 是 崩 溃 的	4
102	我就想问一下	angry	我 就 想 问 一 下	0
103	刚刚上床,肩膀ba了一声,感觉整个左肩都不好了疼	sad	刚 刚 上 床 , 肩 膀 b a 了 一 声 , 感 觉 整 个 左 肩 都 不 好 了 疼	4
